Freq.	V(rho_over_pref)*I(R4)*freq/sqrt(2)
3.70000000000000e+001	(1.38517077245770e+001dB,8.99997614179361e+001°)
3.80000000000000e+001	(1.43313842387249e+001dB,8.99997417362228e+001°)
3.90000000000000e+001	(1.47994788550252e+001dB,8.99997209850450e+001°)
4.00000000000000e+001	(1.52566022527030e+001dB,8.99996991345891e+001°)
4.10000000000000e+001	(1.57033199947588e+001dB,8.99996761549032e+001°)
4.20000000000000e+001	(1.61401568816269e+001dB,8.99996520159009e+001°)
4.30000000000000e+001	(1.65676007925194e+001dB,8.99996266873499e+001°)
4.40000000000000e+001	(1.69861060852107e+001dB,8.99996001388690e+001°)
4.50000000000000e+001	(1.73960966137557e+001dB,8.99995723399259e+001°)
4.60000000000000e+001	(1.77979684145891e+001dB,8.99995432598281e+001°)
4.70000000000000e+001	(1.81920921037785e+001dB,8.99995128677196e+001°)
4.80000000000000e+001	(1.85788150219607e+001dB,8.99994811325748e+001°)
4.90000000000000e+001	(1.89584631581446e+001dB,8.99994480231901e+001°)
5.00000000000000e+001	(1.93313428792327e+001dB,8.99994135081869e+001°)
5.10000000000000e+001	(1.96977424883425e+001dB,8.99993775559992e+001°)
5.20000000000000e+001	(2.00579336318518e+001dB,8.99993401348649e+001°)
5.30000000000000e+001	(2.04121725725091e+001dB,8.99993012128258e+001°)
5.40000000000000e+001	(2.07607013436028e+001dB,8.99992607577233e+001°)
5.50000000000000e+001	(2.11037487972988e+001dB,8.99992187371854e+001°)
5.60000000000000e+001	(2.14415315585875e+001dB,8.99991751186230e+001°)
5.70000000000000e+001	(2.17742548948861e+001dB,8.99991298692253e+001°)
5.80000000000000e+001	(2.21021135100758e+001dB,8.99990829559501e+001°)
5.90000000000000e+001	(2.24252922707479e+001dB,8.99990343455193e+001°)
6.00000000000000e+001	(2.27439668714892e+001dB,8.99989840044102e+001°)
6.10000000000000e+001	(2.30583044452612e+001dB,8.99989318988501e+001°)
6.20000000000000e+001	(2.33684641242294e+001dB,8.99988779948051e+001°)
6.30000000000000e+001	(2.36745975558059e+001dB,8.99988222579775e+001°)
6.40000000000000e+001	(2.39768493781345e+001dB,8.99987646537951e+001°)
6.50000000000000e+001	(2.42753576588116e+001dB,8.99987051474018e+001°)
6.60000000000000e+001	(2.45702543001907e+001dB,8.99986437036519e+001°)
6.70000000000000e+001	(2.48616654142991e+001dB,8.99985802871003e+001°)
6.80000000000000e+001	(2.51497116700862e+001dB,8.99985148619937e+001°)
6.90000000000000e+001	(2.54345086154038e+001dB,8.99984473922606e+001°)
7.00000000000000e+001	(2.57161669759202e+001dB,8.99983778415049e+001°)
7.10000000000000e+001	(2.59947929329339e+001dB,8.99983061729936e+001°)
7.20000000000000e+001	(2.62704883818527e+001dB,8.99982323496483e+001°)
7.30000000000000e+001	(2.65433511729537e+001dB,8.99981563340314e+001°)
7.40000000000000e+001	(2.68134753358639e+001dB,8.99980780883424e+001°)
7.50000000000000e+001	(2.70809512890820e+001dB,8.99979975743996e+001°)
7.60000000000000e+001	(2.73458660357305e+001dB,8.99979147536354e+001°)
7.70000000000000e+001	(2.76083033466289e+001dB,8.99978295870806e+001°)
7.80000000000000e+001	(2.78683439316622e+001dB,8.99977420353517e+001°)
7.90000000000000e+001	(2.81260656003537e+001dB,8.99976520586423e+001°)
8.00000000000000e+001	(2.83815434124623e+001dB,8.99975596167086e+001°)
8.10000000000000e+001	(2.86348498193372e+001dB,8.99974646688551e+001°)
8.20000000000000e+001	(2.88860547967251e+001dB,8.99973671739222e+001°)
8.30000000000000e+001	(2.91352259696760e+001dB,8.99972670902731e+001°)
8.40000000000000e+001	(2.93824287300658e+001dB,8.99971643757767e+001°)
8.50000000000000e+001	(2.96277263473347e+001dB,8.99970589877954e+001°)
8.60000000000000e+001	(2.98711800728521e+001dB,8.99969508831669e+001°)
8.70000000000000e+001	(3.01128492384239e+001dB,8.99968400181888e+001°)
8.80000000000000e+001	(3.03527913492856e+001dB,8.99967263486059e+001°)
8.90000000000000e+001	(3.05910621720070e+001dB,8.99966098295864e+001°)
9.00000000000000e+001	(3.08277158176319e+001dB,8.99964904157086e+001°)
9.10000000000000e+001	(3.10628048203800e+001dB,8.99963680609403e+001°)
9.20000000000000e+001	(3.12963802122099e+001dB,8.99962427186223e+001°)
9.30000000000000e+001	(3.15284915935160e+001dB,8.99961143414458e+001°)
9.40000000000000e+001	(3.17591872002078e+001dB,8.99959828814323e+001°)
9.50000000000000e+001	(3.19885139674270e+001dB,8.99958482899133e+001°)
9.60000000000000e+001	(3.22165175900898e+001dB,8.99957105175074e+001°)
9.70000000000000e+001	(3.24432425804958e+001dB,8.99955695140984e+001°)
9.80000000000000e+001	(3.26687323231426e+001dB,8.99954252288106e+001°)
9.90000000000000e+001	(3.28930291269874e+001dB,8.99952776099820e+001°)
1.00000000000000e+002	(3.31161742752540e+001dB,8.99951266051451e+001°)
1.01000000000000e+002	(3.33382080729811e+001dB,8.99949721609922e+001°)
1.02000000000000e+002	(3.35591698924369e+001dB,8.99948142233532e+001°)
1.03000000000000e+002	(3.37790982165364e+001dB,8.99946527371642e+001°)
1.04000000000000e+002	(3.39980306803883e+001dB,8.99944876464396e+001°)
1.05000000000000e+002	(3.42160041110848e+001dB,8.99943188942380e+001°)
1.06000000000000e+002	(3.44330545658433e+001dB,8.99941464226337e+001°)
1.07000000000000e+002	(3.46492173686095e+001dB,8.99939701726785e+001°)
1.08000000000000e+002	(3.48645271452048e+001dB,8.99937900843719e+001°)
1.09000000000000e+002	(3.50790178571280e+001dB,8.99936060966184e+001°)
1.10000000000000e+002	(3.52927228340771e+001dB,8.99934181471942e+001°)
1.11000000000000e+002	(3.55056748052789e+001dB,8.99932261727070e+001°)
1.12000000000000e+002	(3.57179059297161e+001dB,8.99930301085515e+001°)
1.13000000000000e+002	(3.59294478252978e+001dB,8.99928298888700e+001°)
1.14000000000000e+002	(3.61403315970623e+001dB,8.99926254465051e+001°)
1.15000000000000e+002	(3.63505878644653e+001dB,8.99924167129541e+001°)
1.16000000000000e+002	(3.65602467878319e+001dB,8.99922036183204e+001°)
1.17000000000000e+002	(3.67693380939949e+001dB,8.99919860912591e+001°)
1.18000000000000e+002	(3.69778911012237e+001dB,8.99917640589284e+001°)
1.19000000000000e+002	(3.71859347434532e+001dB,8.99915374469309e+001°)
1.20000000000000e+002	(3.73934975938938e+001dB,8.99913061792564e+001°)
1.21000000000000e+002	(3.76006078880505e+001dB,8.99910701782191e+001°)
1.22000000000000e+002	(3.78072935462141e+001dB,8.99908293643974e+001°)
1.23000000000000e+002	(3.80135821954591e+001dB,8.99905836565640e+001°)
1.24000000000000e+002	(3.82195011911972e+001dB,8.99903329716175e+001°)
1.25000000000000e+002	(3.84250776383266e+001dB,8.99900772245107e+001°)
1.26000000000000e+002	(3.86303384120185e+001dB,8.99898163281700e+001°)
1.27000000000000e+002	(3.88353101781841e+001dB,8.99895501934215e+001°)
1.28000000000000e+002	(3.90400194136552e+001dB,8.99892787289003e+001°)
1.29000000000000e+002	(3.92444924261219e+001dB,8.99890018409673e+001°)
1.30000000000000e+002	(3.94487553738596e+001dB,8.99887194336144e+001°)
1.31000000000000e+002	(3.96528342852937e+001dB,8.99884314083687e+001°)
1.32000000000000e+002	(3.98567550784274e+001dB,8.99881376641891e+001°)
1.33000000000000e+002	(4.00605435801663e+001dB,8.99878380973621e+001°)
1.34000000000000e+002	(4.02642255455994e+001dB,8.99875326013862e+001°)
1.35000000000000e+002	(4.04678266772400e+001dB,8.99872210668559e+001°)
1.36000000000000e+002	(4.06713726442901e+001dB,8.99869033813368e+001°)
1.37000000000000e+002	(4.08748891019526e+001dB,8.99865794292343e+001°)
1.38000000000000e+002	(4.10784017108338e+001dB,8.99862490916572e+001°)
1.39000000000000e+002	(4.12819361564644e+001dB,8.99859122462710e+001°)
1.40000000000000e+002	(4.14855181689935e+001dB,8.99855687671479e+001°)
1.41000000000000e+002	(4.16891735430795e+001dB,8.99852185246025e+001°)
1.42000000000000e+002	(4.18929281580305e+001dB,8.99848613850245e+001°)
1.43000000000000e+002	(4.20968079982260e+001dB,8.99844972106979e+001°)
1.44000000000000e+002	(4.23008391738733e+001dB,8.99841258596140e+001°)
1.45000000000000e+002	(4.25050479421258e+001dB,8.99837471852679e+001°)
1.46000000000000e+002	(4.27094607286362e+001dB,8.99833610364516e+001°)
1.47000000000000e+002	(4.29141041495684e+001dB,8.99829672570273e+001°)
1.48000000000000e+002	(4.31190050341166e+001dB,8.99825656856930e+001°)
1.49000000000000e+002	(4.33241904476186e+001dB,8.99821561557330e+001°)
1.50000000000000e+002	(4.35296877152724e+001dB,8.99817384947500e+001°)
1.51000000000000e+002	(4.37355244465397e+001dB,8.99813125243882e+001°)
1.52000000000000e+002	(4.39417285603095e+001dB,8.99808780600333e+001°)
1.53000000000000e+002	(4.41483283108426e+001dB,8.99804349104980e+001°)
1.54000000000000e+002	(4.43553523146090e+001dB,8.99799828776854e+001°)
1.55000000000000e+002	(4.45628295780740e+001dB,8.99795217562348e+001°)
1.56000000000000e+002	(4.47707895265018e+001dB,8.99790513331420e+001°)
1.57000000000000e+002	(4.49792620338698e+001dB,8.99785713873559e+001°)
1.58000000000000e+002	(4.51882774539711e+001dB,8.99780816893529e+001°)
1.59000000000000e+002	(4.53978666528139e+001dB,8.99775820006780e+001°)
1.60000000000000e+002	(4.56080610423878e+001dB,8.99770720734582e+001°)
1.61000000000000e+002	(4.58188926159428e+001dB,8.99765516498874e+001°)
1.62000000000000e+002	(4.60303939848569e+001dB,8.99760204616688e+001°)
1.63000000000000e+002	(4.62425984172385e+001dB,8.99754782294254e+001°)
1.64000000000000e+002	(4.64555398783876e+001dB,8.99749246620688e+001°)
1.65000000000000e+002	(4.66692530732570e+001dB,8.99743594561215e+001°)
1.66000000000000e+002	(4.68837734910607e+001dB,8.99737822949965e+001°)
1.67000000000000e+002	(4.70991374522176e+001dB,8.99731928482180e+001°)
1.68000000000000e+002	(4.73153821577622e+001dB,8.99725907705948e+001°)
1.69000000000000e+002	(4.75325457414873e+001dB,8.99719757013244e+001°)
1.70000000000000e+002	(4.77506673249266e+001dB,8.99713472630393e+001°)
1.71000000000000e+002	(4.79697870755227e+001dB,8.99707050607742e+001°)
1.72000000000000e+002	(4.81899462681211e+001dB,8.99700486808609e+001°)
1.73000000000000e+002	(4.84111873501181e+001dB,8.99693776897333e+001°)
1.74000000000000e+002	(4.86335540105437e+001dB,8.99686916326445e+001°)
1.75000000000000e+002	(4.88570912533812e+001dB,8.99679900322779e+001°)
1.76000000000000e+002	(4.90818454754890e+001dB,8.99672723872493e+001°)
1.77000000000000e+002	(4.93078645494828e+001dB,8.99665381704907e+001°)
1.78000000000000e+002	(4.95351979120275e+001dB,8.99657868274927e+001°)
1.79000000000000e+002	(4.97638966579465e+001dB,8.99650177744121e+001°)
1.80000000000000e+002	(4.99940136406911e+001dB,8.99642303960087e+001°)
1.81000000000000e+002	(5.02256035796924e+001dB,8.99634240434132e+001°)
1.82000000000000e+002	(5.04587231751990e+001dB,8.99625980316961e+001°)
1.83000000000000e+002	(5.06934312312964e+001dB,8.99617516372249e+001°)
1.84000000000000e+002	(5.09297887877744e+001dB,8.99608840947840e+001°)
1.85000000000000e+002	(5.11678592617419e+001dB,8.99599945944304e+001°)
1.86000000000000e+002	(5.14077085998023e+001dB,8.99590822780631e+001°)
1.87000000000000e+002	(5.16494054418379e+001dB,8.99581462356666e+001°)
1.88000000000000e+002	(5.18930212974897e+001dB,8.99571855012012e+001°)
1.89000000000000e+002	(5.21386307365345e+001dB,8.99561990480902e+001°)
1.90000000000000e+002	(5.23863115945862e+001dB,8.99551857842660e+001°)
1.91000000000000e+002	(5.26361451955822e+001dB,8.99541445467207e+001°)
1.92000000000000e+002	(5.28882165927745e+001dB,8.99530740955003e+001°)
1.93000000000000e+002	(5.31426148301791e+001dB,8.99519731070788e+001°)
1.94000000000000e+002	(5.33994332265547e+001dB,8.99508401670327e+001°)
1.95000000000000e+002	(5.36587696843705e+001dB,8.99496737619312e+001°)
1.96000000000000e+002	(5.39207270264258e+001dB,8.99484722703404e+001°)
1.97000000000000e+002	(5.41854133632314e+001dB,8.99472339528254e+001°)
1.98000000000000e+002	(5.44529424945781e+001dB,8.99459569408215e+001°)
1.99000000000000e+002	(5.47234343491763e+001dB,8.99446392242192e+001°)
2.00000000000000e+002	(5.49970154669235e+001dB,8.99432786374846e+001°)
2.01000000000000e+002	(5.52738195287622e+001dB,8.99418728441147e+001°)
2.02000000000000e+002	(5.55539879399701e+001dB,8.99404193191848e+001°)
2.03000000000000e+002	(5.58376704735226e+001dB,8.99389153297127e+001°)
2.04000000000000e+002	(5.61250259810704e+001dB,8.99373579125104e+001°)
2.05000000000000e+002	(5.64162231803938e+001dB,8.99357438491428e+001°)
2.06000000000000e+002	(5.67114415292787e+001dB,8.99340696375436e+001°)
2.07000000000000e+002	(5.70108721976799e+001dB,8.99323314597512e+001°)
2.08000000000000e+002	(5.73147191516150e+001dB,8.99305251451370e+001°)
2.09000000000000e+002	(5.76232003646844e+001dB,8.99286461283689e+001°)
2.10000000000000e+002	(5.79365491756825e+001dB,8.99266894012129e+001°)
2.11000000000000e+002	(5.82550158140217e+001dB,8.99246494570885e+001°)
2.12000000000000e+002	(5.85788691185051e+001dB,8.99225202270784e+001°)
2.13000000000000e+002	(5.89083984796665e+001dB,8.99202950058109e+001°)
2.14000000000000e+002	(5.92439160415636e+001dB,8.99179663652997e+001°)
2.15000000000000e+002	(5.95857592057744e+001dB,8.99155260543879e+001°)
2.16000000000000e+002	(5.99342934888231e+001dB,8.99129648809125e+001°)
2.17000000000000e+002	(6.02899157946927e+001dB,8.99102725730272e+001°)
2.18000000000000e+002	(6.06530581769924e+001dB,8.99074376152448e+001°)
2.19000000000000e+002	(6.10241921814493e+001dB,8.99044470536565e+001°)
2.20000000000000e+002	(6.14038338796542e+001dB,8.99012862633515e+001°)
2.21000000000000e+002	(6.17925497304725e+001dB,8.98979386691880e+001°)
2.22000000000000e+002	(6.21909634380609e+001dB,8.98943854086260e+001°)
2.23000000000000e+002	(6.25997640170893e+001dB,8.98906049220890e+001°)
2.24000000000000e+002	(6.30197153295163e+001dB,8.98865724520134e+001°)
2.25000000000000e+002	(6.34516674274921e+001dB,8.98822594259121e+001°)
2.26000000000000e+002	(6.38965701290103e+001dB,8.98776326908700e+001°)
2.27000000000000e+002	(6.43554893756506e+001dB,8.98726535559892e+001°)
2.28000000000000e+002	(6.48296270857937e+001dB,8.98672765841070e+001°)
2.29000000000000e+002	(6.53203454401084e+001dB,8.98614480527062e+001°)
2.30000000000000e+002	(6.58291968423279e+001dB,8.98551039733026e+001°)
2.31000000000000e+002	(6.63579612254955e+001dB,8.98481675141070e+001°)
2.32000000000000e+002	(6.69086929766067e+001dB,8.98405456051382e+001°)
2.33000000000000e+002	(6.74837806182093e+001dB,8.98321244063310e+001°)
2.34000000000000e+002	(6.80860236492978e+001dB,8.98227631681158e+001°)
2.35000000000000e+002	(6.87187328289644e+001dB,8.98122857774104e+001°)
2.36000000000000e+002	(6.93858630462051e+001dB,8.98004689027288e+001°)
2.37000000000000e+002	(7.00921923706464e+001dB,8.97870250275805e+001°)
2.38000000000000e+002	(7.08435679939326e+001dB,8.97715776015810e+001°)
2.39000000000000e+002	(7.16472514874899e+001dB,8.97536236784941e+001°)
2.40000000000000e+002	(7.25124157654820e+001dB,8.97324760163721e+001°)
2.41000000000000e+002	(7.34508815158087e+001dB,8.97071701401644e+001°)
2.42000000000000e+002	(7.44782464759908e+001dB,8.96763088559699e+001°)
2.43000000000000e+002	(7.56156893817150e+001dB,8.96377889006431e+001°)
2.44000000000000e+002	(7.68929987220459e+001dB,8.95882904174194e+001°)
2.45000000000000e+002	(7.83539832717536e+001dB,8.95222485929608e+001°)
2.46000000000000e+002	(8.00669387832029e+001dB,8.94295700042762e+001°)
2.47000000000000e+002	(8.21471728641618e+001dB,8.92898495245353e+001°)
2.48000000000000e+002	(8.48133980356174e+001dB,8.90546863698917e+001°)
2.49000000000000e+002	(8.85665911488732e+001dB,8.85746205098994e+001°)
2.50000000000000e+002	(9.50794080521572e+001dB,8.70478195257603e+001°)
2.51000000000000e+002	(1.14658685403045e+002dB,-6.13348931521674e+001°)
2.52000000000000e+002	(9.38065330956429e+001dB,-8.75649587537972e+001°)
2.53000000000000e+002	(8.82455091648386e+001dB,-8.87469162264725e+001°)
2.54000000000000e+002	(8.49496410907440e+001dB,-8.91634418542694e+001°)
2.55000000000000e+002	(8.26171947300374e+001dB,-8.93764244213684e+001°)
2.56000000000000e+002	(8.08213574016557e+001dB,-8.95059230537108e+001°)
2.57000000000000e+002	(7.93681427904382e+001dB,-8.95930933943133e+001°)
2.58000000000000e+002	(7.81528462560849e+001dB,-8.96558594636401e+001°)
2.59000000000000e+002	(7.71124791367859e+001dB,-8.97032786077728e+001°)
2.60000000000000e+002	(7.62061861207225e+001dB,-8.97404207708256e+001°)
2.61000000000000e+002	(7.54059554098148e+001dB,-8.97703452053197e+001°)
2.62000000000000e+002	(7.46917431107092e+001dB,-8.97950073433651e+001°)
2.63000000000000e+002	(7.40487119388464e+001dB,-8.98157154565460e+001°)
2.64000000000000e+002	(7.34655712866483e+001dB,-8.98333779328819e+001°)
2.65000000000000e+002	(7.29335302439964e+001dB,-8.98486452236820e+001°)
2.66000000000000e+002	(7.24456105464050e+001dB,-8.98619953345435e+001°)
2.67000000000000e+002	(7.19961804755710e+001dB,-8.98737874281422e+001°)
2.68000000000000e+002	(7.15806295734657e+001dB,-8.98842966033264e+001°)
2.69000000000000e+002	(7.11951360170883e+001dB,-8.98937371361280e+001°)
2.70000000000000e+002	(7.08364966800612e+001dB,-8.99022784144722e+001°)
2.71000000000000e+002	(7.05020006429088e+001dB,-8.99100561128744e+001°)
2.72000000000000e+002	(7.01893334679238e+001dB,-8.99171801873560e+001°)
2.73000000000000e+002	(6.98965036748490e+001dB,-8.99237406983991e+001°)
2.74000000000000e+002	(6.96217855119590e+001dB,-8.99298121205201e+001°)
2.75000000000000e+002	(6.93636738721700e+001dB,-8.99354565782992e+001°)
2.76000000000000e+002	(6.91208483870464e+001dB,-8.99407263084300e+001°)
2.77000000000000e+002	(6.88921445442864e+001dB,-8.99456655554883e+001°)
2.78000000000000e+002	(6.86765302421746e+001dB,-8.99503120477679e+001°)
2.79000000000000e+002	(6.84730865974411e+001dB,-8.99546981578491e+001°)
2.80000000000000e+002	(6.82809921130777e+001dB,-8.99588518237761e+001°)
2.81000000000000e+002	(6.80995095242498e+001dB,-8.99627972865432e+001°)
2.82000000000000e+002	(6.79279747965830e+001dB,-8.99665556852539e+001°)
2.83000000000000e+002	(6.77657878677687e+001dB,-8.99701455410062e+001°)
2.84000000000000e+002	(6.76124048112796e+001dB,-8.99735831530494e+001°)
2.85000000000000e+002	(6.74673311680860e+001dB,-8.99768829252251e+001°)
2.86000000000000e+002	(6.73301162436067e+001dB,-8.99800576366073e+001°)
2.87000000000000e+002	(6.72003482071608e+001dB,-8.99831186671655e+001°)
2.88000000000000e+002	(6.70776498622331e+001dB,-8.99860761869410e+001°)
2.89000000000000e+002	(6.69616749804966e+001dB,-8.99889393154433e+001°)
2.90000000000000e+002	(6.68521051118951e+001dB,-8.99917162566037e+001°)
2.91000000000000e+002	(6.67486467986649e+001dB,-8.99944144135544e+001°)
2.92000000000000e+002	(6.66510291335726e+001dB,-8.99970404866697e+001°)
2.93000000000000e+002	(6.65590016127405e+001dB,-8.99996005576580e+001°)
2.94000000000000e+002	(6.64723322415772e+001dB,-9.00021001619707e+001°)
2.95000000000000e+002	(6.63908058590050e+001dB,-9.00045443513844e+001°)
2.96000000000000e+002	(6.63142226506292e+001dB,-9.00069377482845e+001°)
2.97000000000000e+002	(6.62423968260379e+001dB,-9.00092845929110e+001°)
2.98000000000000e+002	(6.61751554391200e+001dB,-9.00115887846163e+001°)
2.99000000000000e+002	(6.61123373334135e+001dB,-9.00138539180067e+001°)
3.00000000000000e+002	(6.60537921970953e+001dB,-9.00160833147011e+001°)
3.01000000000000e+002	(6.59993797143879e+001dB,-9.00182800513183e+001°)
3.02000000000000e+002	(6.59489688020072e+001dB,-9.00204469842155e+001°)
3.03000000000000e+002	(6.59024369208000e+001dB,-9.00225867714136e+001°)
3.04000000000000e+002	(6.58596694540650e+001dB,-9.00247018920846e+001°)
3.05000000000000e+002	(6.58205591451374e+001dB,-9.00267946639175e+001°)
3.06000000000000e+002	(6.57850055877952e+001dB,-9.00288672586359e+001°)
3.07000000000000e+002	(6.57529147638408e+001dB,-9.00309217158998e+001°)
3.08000000000000e+002	(6.57241986229279e+001dB,-9.00329599557929e+001°)
3.09000000000000e+002	(6.56987747003121e+001dB,-9.00349837900683e+001°)
3.10000000000000e+002	(6.56765657687004e+001dB,-9.00369949323042e+001°)
3.11000000000000e+002	(6.56574995208592e+001dB,-9.00389950070968e+001°)
3.12000000000000e+002	(6.56415082800037e+001dB,-9.00409855584080e+001°)
3.13000000000000e+002	(6.56285287353638e+001dB,-9.00429680571633e+001°)
3.14000000000000e+002	(6.56185017005885e+001dB,-9.00449439081886e+001°)
3.15000000000000e+002	(6.56113718929387e+001dB,-9.00469144565634e+001°)
3.16000000000000e+002	(6.56070877314362e+001dB,-9.00488809934535e+001°)
3.17000000000000e+002	(6.56056011523370e+001dB,-9.00508447614877e+001°)
3.18000000000000e+002	(6.56068674404810e+001dB,-9.00528069597269e+001°)
3.19000000000000e+002	(6.56108450752244e+001dB,-9.00547687482755e+001°)
3.20000000000000e+002	(6.56174955898079e+001dB,-9.00567312525743e+001°)
3.21000000000000e+002	(6.56267834431236e+001dB,-9.00586955674149e+001°)
3.22000000000000e+002	(6.56386759029720e+001dB,-9.00606627607084e+001°)
3.23000000000000e+002	(6.56531429399873e+001dB,-9.00626338770372e+001°)
3.24000000000000e+002	(6.56701571315091e+001dB,-9.00646099410201e+001°)
3.25000000000000e+002	(6.56896935747389e+001dB,-9.00665919605155e+001°)
3.26000000000000e+002	(6.57117298086307e+001dB,-9.00685809296847e+001°)
3.27000000000000e+002	(6.57362457439805e+001dB,-9.00705778319373e+001°)
3.28000000000000e+002	(6.57632236012837e+001dB,-9.00725836427806e+001°)
3.29000000000000e+002	(6.57926478559649e+001dB,-9.00745993325881e+001°)
3.30000000000000e+002	(6.58245051906326e+001dB,-9.00766258693082e+001°)
3.31000000000000e+002	(6.58587844540640e+001dB,-9.00786642211287e+001°)
3.32000000000000e+002	(6.58954766266789e+001dB,-9.00807153591140e+001°)
3.33000000000000e+002	(6.59345747922795e+001dB,-9.00827802598284e+001°)
3.34000000000000e+002	(6.59760741158966e+001dB,-9.00848599079651e+001°)
3.35000000000000e+002	(6.60199718275990e+001dB,-9.00869552989943e+001°)
3.36000000000000e+002	(6.60662672121861e+001dB,-9.00890674418448e+001°)
3.37000000000000e+002	(6.61149616046794e+001dB,-9.00911973616363e+001°)
3.38000000000000e+002	(6.61660583916052e+001dB,-9.00933461024789e+001°)
3.39000000000000e+002	(6.62195630180648e+001dB,-9.00955147303552e+001°)
3.40000000000000e+002	(6.62754830006407e+001dB,-9.00977043361015e+001°)
3.41000000000000e+002	(6.63338279462032e+001dB,-9.00999160385099e+001°)
3.42000000000000e+002	(6.63946095767441e+001dB,-9.01021509875639e+001°)
3.43000000000000e+002	(6.64578417603719e+001dB,-9.01044103678378e+001°)
3.44000000000000e+002	(6.65235405486660e+001dB,-9.01066954020683e+001°)
3.45000000000000e+002	(6.65917242206049e+001dB,-9.01090073549369e+001°)
3.46000000000000e+002	(6.66624133333456e+001dB,-9.01113475370753e+001°)
3.47000000000000e+002	(6.67356307801657e+001dB,-9.01137173093319e+001°)
3.48000000000000e+002	(6.68114018559291e+001dB,-9.01161180873221e+001°)
3.49000000000000e+002	(6.68897543304915e+001dB,-9.01185513463025e+001°)
3.50000000000000e+002	(6.69707185305181e+001dB,-9.01210186264002e+001°)
3.51000000000000e+002	(6.70543274302492e+001dB,-9.01235215382428e+001°)
3.52000000000000e+002	(6.71406167518153e+001dB,-9.01260617690293e+001°)
3.53000000000000e+002	(6.72296250757866e+001dB,-9.01286410890994e+001°)
3.54000000000000e+002	(6.73213939627046e+001dB,-9.01312613590492e+001°)
3.55000000000000e+002	(6.74159680864816e+001dB,-9.01339245374640e+001°)
3.56000000000000e+002	(6.75133953805921e+001dB,-9.01366326893314e+001°)
3.57000000000000e+002	(6.76137271981646e+001dB,-9.01393879952224e+001°)
3.58000000000000e+002	(6.77170184871636e+001dB,-9.01421927613210e+001°)
3.59000000000000e+002	(6.78233279820189e+001dB,-9.01450494304106e+001°)
3.60000000000000e+002	(6.79327184132322e+001dB,-9.01479605939278e+001°)
3.61000000000000e+002	(6.80452567366527e+001dB,-9.01509290052141e+001°)
3.62000000000000e+002	(6.81610143843596e+001dB,-9.01539575941137e+001°)
3.63000000000000e+002	(6.82800675393012e+001dB,-9.01570494830847e+001°)
