Freq.	-V(n001)/I(I1)
4.60000000000000e+001	4.68975868640033e+001,3.55001410882631e+003
4.70000000000000e+001	4.89585953403133e+001,3.62716694856994e+003
4.80000000000000e+001	5.10639109004061e+001,3.70431840907176e+003
4.90000000000000e+001	5.32135325435770e+001,3.78146846099832e+003
5.00000000000000e+001	5.54074592479594e+001,3.85861707501694e+003
5.10000000000000e+001	5.76456899707736e+001,3.93576422179569e+003
5.20000000000000e+001	5.99282236481351e+001,4.01290987200348e+003
5.30000000000000e+001	6.22550591951022e+001,4.09005399631001e+003
5.40000000000000e+001	6.46261955058281e+001,4.16719656538580e+003
5.50000000000000e+001	6.70416314530575e+001,4.24433754990224e+003
5.60000000000000e+001	6.95013658887402e+001,4.32147692053156e+003
5.70000000000000e+001	7.20053976437809e+001,4.39861464794687e+003
5.80000000000000e+001	7.45537255279706e+001,4.47575070282219e+003
5.90000000000000e+001	7.71463483300112e+001,4.55288505583242e+003
6.00000000000000e+001	7.97832648176591e+001,4.63001767765341e+003
6.10000000000000e+001	8.24644737373990e+001,4.70714853896193e+003
6.20000000000000e+001	8.51899738150805e+001,4.78427761043573e+003
6.30000000000000e+001	8.79597637550474e+001,4.86140486275351e+003
6.40000000000000e+001	9.07738422408221e+001,4.93853026659497e+003
6.50000000000000e+001	9.36322079349269e+001,5.01565379264080e+003
6.60000000000000e+001	9.65348594786674e+001,5.09277541157274e+003
6.70000000000000e+001	9.94817954924299e+001,5.16989509407353e+003
6.80000000000000e+001	1.02473014575560e+002,5.24701281082699e+003
6.90000000000000e+001	1.05508515306363e+002,5.32412853251799e+003
7.00000000000000e+001	1.08588296242005e+002,5.40124222983249e+003
7.10000000000000e+001	1.11712355918549e+002,5.47835387345756e+003
7.20000000000000e+001	1.14880692851325e+002,5.55546343408136e+003
7.30000000000000e+001	1.18093305534370e+002,5.63257088239321e+003
7.40000000000000e+001	1.21350192440672e+002,5.70967618908357e+003
7.50000000000000e+001	1.24651352022348e+002,5.78677932484403e+003
7.60000000000000e+001	1.27996782710338e+002,5.86388026036741e+003
7.70000000000000e+001	1.31386482914540e+002,5.94097896634771e+003
7.80000000000000e+001	1.34820451023874e+002,6.01807541348011e+003
7.90000000000000e+001	1.38298685406322e+002,6.09516957246106e+003
8.00000000000000e+001	1.41821184408613e+002,6.17226141398822e+003
8.10000000000000e+001	1.45387946356600e+002,6.24935090876053e+003
8.20000000000000e+001	1.48998969555003e+002,6.32643802747819e+003
8.30000000000000e+001	1.52654252287614e+002,6.40352274084271e+003
8.40000000000000e+001	1.56353792817089e+002,6.48060501955688e+003
8.50000000000000e+001	1.60097589385199e+002,6.55768483432483e+003
8.60000000000000e+001	1.63885640212503e+002,6.63476215585204e+003
8.70000000000000e+001	1.67717943498722e+002,6.71183695484531e+003
8.80000000000000e+001	1.71594497422436e+002,6.78890920201284e+003
8.90000000000000e+001	1.75515300141160e+002,6.86597886806421e+003
9.00000000000000e+001	1.79480349791502e+002,6.94304592371038e+003
9.10000000000000e+001	1.83489644488968e+002,7.02011033966377e+003
9.20000000000000e+001	1.87543182328127e+002,7.09717208663819e+003
9.30000000000000e+001	1.91640961382354e+002,7.17423113534892e+003
9.40000000000000e+001	1.95782979704132e+002,7.25128745651272e+003
9.50000000000000e+001	1.99969235325019e+002,7.32834102084780e+003
9.60000000000000e+001	2.04199726255423e+002,7.40539179907390e+003
9.70000000000000e+001	2.08474450484685e+002,7.48243976191224e+003
9.80000000000000e+001	2.12793405981223e+002,7.55948488008561e+003
9.90000000000000e+001	2.17156590692544e+002,7.63652712431830e+003
1.00000000000000e+002	2.21564002544842e+002,7.71356646533619e+003
1.01000000000000e+002	2.26015639443656e+002,7.79060287386673e+003
1.02000000000000e+002	2.30511499273256e+002,7.86763632063896e+003
1.03000000000000e+002	2.35051579896954e+002,7.94466677638354e+003
1.04000000000000e+002	2.39635879157218e+002,8.02169421183274e+003
1.05000000000000e+002	2.44264394875293e+002,8.09871859772047e+003
1.06000000000000e+002	2.48937124851468e+002,8.17573990478231e+003
1.07000000000000e+002	2.53654066865144e+002,8.25275810375551e+003
1.08000000000000e+002	2.58415218674667e+002,8.32977316537899e+003
1.09000000000000e+002	2.63220578017350e+002,8.40678506039340e+003
1.10000000000000e+002	2.68070142609414e+002,8.48379375954110e+003
1.11000000000000e+002	2.72963910146357e+002,8.56079923356617e+003
1.12000000000000e+002	2.77901878302340e+002,8.63780145321446e+003
1.13000000000000e+002	2.82884044730875e+002,8.71480038923359e+003
1.14000000000000e+002	2.87910407064194e+002,8.79179601237294e+003
1.15000000000000e+002	2.92980962913627e+002,8.86878829338372e+003
1.16000000000000e+002	2.98095709869585e+002,8.94577720301894e+003
1.17000000000000e+002	3.03254645501452e+002,9.02276271203344e+003
1.18000000000000e+002	3.08457767357628e+002,9.09974479118390e+003
1.19000000000000e+002	3.13705072965416e+002,9.17672341122887e+003
1.20000000000000e+002	3.18996559831278e+002,9.25369854292881e+003
1.21000000000000e+002	3.24332225440692e+002,9.33067015704601e+003
1.22000000000000e+002	3.29712067258006e+002,9.40763822434472e+003
1.23000000000000e+002	3.35136082726811e+002,9.48460271559111e+003
1.24000000000000e+002	3.40604269269454e+002,9.56156360155327e+003
1.25000000000000e+002	3.46116624287451e+002,9.63852085300128e+003
1.26000000000000e+002	3.51673145161468e+002,9.71547444070715e+003
1.27000000000000e+002	3.57273829250913e+002,9.79242433544493e+003
1.28000000000000e+002	3.62918673894505e+002,9.86937050799064e+003
1.29000000000000e+002	3.68607676409745e+002,9.94631292912234e+003
1.30000000000000e+002	3.74340834093286e+002,1.00232515696201e+004
1.31000000000000e+002	3.80118144220899e+002,1.01001864002661e+004
1.32000000000000e+002	3.85939604047218e+002,1.01771173918446e+004
1.33000000000000e+002	3.91805210805951e+002,1.02540445151417e+004
1.34000000000000e+002	3.97714961709979e+002,1.03309677409460e+004
1.35000000000000e+002	4.03668853951084e+002,1.04078870400480e+004
1.36000000000000e+002	4.09666884699992e+002,1.04848023832403e+004
1.37000000000000e+002	4.15709051106753e+002,1.05617137413176e+004
1.38000000000000e+002	4.21795350300320e+002,1.06386210850770e+004
1.39000000000000e+002	4.27925779388640e+002,1.07155243853177e+004
1.40000000000000e+002	4.34100335458708e+002,1.07924236128408e+004
1.41000000000000e+002	4.40319015576714e+002,1.08693187384501e+004
1.42000000000000e+002	4.46581816787594e+002,1.09462097329512e+004
1.43000000000000e+002	4.52888736115797e+002,1.10230965671522e+004
1.44000000000000e+002	4.59239770564307e+002,1.10999792118634e+004
1.45000000000000e+002	4.65634917115637e+002,1.11768576378973e+004
1.46000000000000e+002	4.72074172730981e+002,1.12537318160687e+004
1.47000000000000e+002	4.78557534350863e+002,1.13306017171949e+004
1.48000000000000e+002	4.85084998894649e+002,1.14074673120953e+004
1.49000000000000e+002	4.91656563260988e+002,1.14843285715917e+004
1.50000000000000e+002	4.98272224327425e+002,1.15611854665083e+004
1.51000000000000e+002	5.04931978950687e+002,1.16380379676716e+004
1.52000000000000e+002	5.11635823966362e+002,1.17148860459106e+004
1.53000000000000e+002	5.18383756189432e+002,1.17917296720565e+004
1.54000000000000e+002	5.25175772413593e+002,1.18685688169432e+004
1.55000000000000e+002	5.32011869412037e+002,1.19454034514067e+004
1.56000000000000e+002	5.38892043936575e+002,1.20222335462858e+004
1.57000000000000e+002	5.45816292718400e+002,1.20990590724216e+004
1.58000000000000e+002	5.52784612467693e+002,1.21758800006575e+004
1.59000000000000e+002	5.59796999873682e+002,1.22526963018397e+004
1.60000000000000e+002	5.66853451604842e+002,1.23295079468167e+004
1.61000000000000e+002	5.73953964308572e+002,1.24063149064398e+004
1.62000000000000e+002	5.81098534611287e+002,1.24831171515624e+004
1.63000000000000e+002	5.88287159118623e+002,1.25599146530409e+004
1.64000000000000e+002	5.95519834415412e+002,1.26367073817340e+004
1.65000000000000e+002	6.02796557065374e+002,1.27134953085032e+004
1.66000000000000e+002	6.10117323611429e+002,1.27902784042123e+004
1.67000000000000e+002	6.17482130575555e+002,1.28670566397281e+004
1.68000000000000e+002	6.24890974458829e+002,1.29438299859198e+004
1.69000000000000e+002	6.32343851741470e+002,1.30205984136593e+004
1.70000000000000e+002	6.39840758882793e+002,1.30973618938212e+004
1.71000000000000e+002	6.47381692321227e+002,1.31741203972827e+004
1.72000000000000e+002	6.54966648474190e+002,1.32508738949238e+004
1.73000000000000e+002	6.62595623738476e+002,1.33276223576272e+004
1.74000000000000e+002	6.70268614489606e+002,1.34043657562784e+004
1.75000000000000e+002	6.77985617082645e+002,1.34811040617655e+004
1.76000000000000e+002	6.85746627851499e+002,1.35578372449794e+004
1.77000000000000e+002	6.93551643109149e+002,1.36345652768138e+004
1.78000000000000e+002	7.01400659147896e+002,1.37112881281653e+004
1.79000000000000e+002	7.09293672239086e+002,1.37880057699333e+004
1.80000000000000e+002	7.17230678633189e+002,1.38647181730198e+004
1.81000000000000e+002	7.25211674559803e+002,1.39414253083298e+004
1.82000000000000e+002	7.33236656227527e+002,1.40181271467713e+004
1.83000000000000e+002	7.41305619824345e+002,1.40948236592550e+004
1.84000000000000e+002	7.49418561517205e+002,1.41715148166944e+004
1.85000000000000e+002	7.57575477452191e+002,1.42482005900062e+004
1.86000000000000e+002	7.65776363754610e+002,1.43248809501098e+004
1.87000000000000e+002	7.74021216528915e+002,1.44015558679276e+004
1.88000000000000e+002	7.82310031858562e+002,1.44782253143849e+004
1.89000000000000e+002	7.90642805806291e+002,1.45548892604101e+004
1.90000000000000e+002	7.99019534413942e+002,1.46315476769346e+004
1.91000000000000e+002	8.07440213702411e+002,1.47082005348925e+004
1.92000000000000e+002	8.15904839672028e+002,1.47848478052213e+004
1.93000000000000e+002	8.24413408301995e+002,1.48614894588613e+004
1.94000000000000e+002	8.32965915550863e+002,1.49381254667559e+004
1.95000000000000e+002	8.41562357356100e+002,1.50147557998516e+004
1.96000000000000e+002	8.50202729634574e+002,1.50913804290981e+004
1.97000000000000e+002	8.58887028282224e+002,1.51679993254478e+004
1.98000000000000e+002	8.67615249174154e+002,1.52446124598567e+004
1.99000000000000e+002	8.76387388164787e+002,1.53212198032836e+004
2.00000000000000e+002	8.85203441087314e+002,1.53978213266906e+004
2.01000000000000e+002	8.94063403754608e+002,1.54744170010428e+004
2.02000000000000e+002	9.02967271958410e+002,1.55510067973086e+004
2.03000000000000e+002	9.11915041469693e+002,1.56275906864597e+004
2.04000000000000e+002	9.20906708038610e+002,1.57041686394708e+004
2.05000000000000e+002	9.29942267394603e+002,1.57807406273199e+004
2.06000000000000e+002	9.39021715246141e+002,1.58573066209882e+004
2.07000000000000e+002	9.48145047281043e+002,1.59338665914603e+004
2.08000000000000e+002	9.57312259166157e+002,1.60104205097239e+004
2.09000000000000e+002	9.66523346547689e+002,1.60869683467700e+004
2.10000000000000e+002	9.75778305050931e+002,1.61635100735930e+004
2.11000000000000e+002	9.85077130280374e+002,1.62400456611906e+004
2.12000000000000e+002	9.94419817819766e+002,1.63165750805638e+004
2.13000000000000e+002	1.00380636323212e+003,1.63930983027169e+004
2.14000000000000e+002	1.01323676205947e+003,1.64696152986577e+004
2.15000000000000e+002	1.02271100982320e+003,1.65461260393972e+004
2.16000000000000e+002	1.03222910202385e+003,1.66226304959499e+004
2.17000000000000e+002	1.04179103414138e+003,1.66991286393337e+004
2.18000000000000e+002	1.05139680163455e+003,1.67756204405701e+004
2.19000000000000e+002	1.06104639994175e+003,1.68521058706836e+004
2.20000000000000e+002	1.07073982448038e+003,1.69285849007027e+004
2.21000000000000e+002	1.08047707064712e+003,1.70050575016589e+004
2.22000000000000e+002	1.09025813381789e+003,1.70815236445875e+004
2.23000000000000e+002	1.10008300934776e+003,1.71579833005271e+004
2.24000000000000e+002	1.10995169257121e+003,1.72344364405201e+004
2.25000000000000e+002	1.11986417880181e+003,1.73108830356121e+004
2.26000000000000e+002	1.12982046333236e+003,1.73873230568524e+004
2.27000000000000e+002	1.13982054143501e+003,1.74637564752941e+004
2.28000000000000e+002	1.14986440836110e+003,1.75401832619934e+004
2.29000000000000e+002	1.15995205934125e+003,1.76166033880105e+004
2.30000000000000e+002	1.17008348958527e+003,1.76930168244091e+004
2.31000000000000e+002	1.18025869428231e+003,1.77694235422565e+004
2.32000000000000e+002	1.19047766860069e+003,1.78458235126236e+004
2.33000000000000e+002	1.20074040768801e+003,1.79222167065851e+004
2.34000000000000e+002	1.21104690667120e+003,1.79986030952192e+004
2.35000000000000e+002	1.22139716065636e+003,1.80749826496080e+004
2.36000000000000e+002	1.23179116472897e+003,1.81513553408371e+004
2.37000000000000e+002	1.24222891395366e+003,1.82277211399961e+004
2.38000000000000e+002	1.25271040337446e+003,1.83040800181779e+004
2.39000000000000e+002	1.26323562801462e+003,1.83804319464797e+004
2.40000000000000e+002	1.27380458287661e+003,1.84567768960021e+004
2.41000000000000e+002	1.28441726294230e+003,1.85331148378495e+004
2.42000000000000e+002	1.29507366317275e+003,1.86094457431303e+004
2.43000000000000e+002	1.30577377850838e+003,1.86857695829565e+004
2.44000000000000e+002	1.31651760386876e+003,1.87620863284442e+004
2.45000000000000e+002	1.32730513415303e+003,1.88383959507131e+004
2.46000000000000e+002	1.33813636423941e+003,1.89146984208869e+004
2.47000000000000e+002	1.34901128898548e+003,1.89909937100931e+004
2.48000000000000e+002	1.35992990322811e+003,1.90672817894631e+004
2.49000000000000e+002	1.37089220178349e+003,1.91435626301324e+004
2.50000000000000e+002	1.38189817944722e+003,1.92198362032402e+004
2.51000000000000e+002	1.39294783099390e+003,1.92961024799297e+004
2.52000000000000e+002	1.40404115117791e+003,1.93723614313481e+004
2.53000000000000e+002	1.41517813473254e+003,1.94486130286466e+004
2.54000000000000e+002	1.42635877637065e+003,1.95248572429803e+004
2.55000000000000e+002	1.43758307078440e+003,1.96010940455084e+004
2.56000000000000e+002	1.44885101264515e+003,1.96773234073941e+004
2.57000000000000e+002	1.46016259660361e+003,1.97535452998045e+004
2.58000000000000e+002	1.47151781729007e+003,1.98297596939111e+004
2.59000000000000e+002	1.48291666931385e+003,1.99059665608891e+004
2.60000000000000e+002	1.49435914726375e+003,1.99821658719179e+004
2.61000000000000e+002	1.50584524570799e+003,2.00583575981811e+004
2.62000000000000e+002	1.51737495919398e+003,2.01345417108664e+004
2.63000000000000e+002	1.52894828224860e+003,2.02107181811654e+004
2.64000000000000e+002	1.54056520937799e+003,2.02868869802742e+004
2.65000000000000e+002	1.55222573506774e+003,2.03630480793928e+004
2.66000000000000e+002	1.56392985378281e+003,2.04392014497255e+004
2.67000000000000e+002	1.57567755996751e+003,2.05153470624807e+004
2.68000000000000e+002	1.58746884804539e+003,2.05914848888712e+004
2.69000000000000e+002	1.59930371241941e+003,2.06676149001138e+004
2.70000000000000e+002	1.61118214747223e+003,2.07437370674297e+004
2.71000000000000e+002	1.62310414756541e+003,2.08198513620442e+004
2.72000000000000e+002	1.63506970704019e+003,2.08959577551871e+004
2.73000000000000e+002	1.64707882021708e+003,2.09720562180922e+004
2.74000000000000e+002	1.65913148139613e+003,2.10481467219979e+004
2.75000000000000e+002	1.67122768485648e+003,2.11242292381467e+004
2.76000000000000e+002	1.68336742485704e+003,2.12003037377855e+004
2.77000000000000e+002	1.69555069563586e+003,2.12763701921656e+004
2.78000000000000e+002	1.70777749141040e+003,2.13524285725426e+004
2.79000000000000e+002	1.72004780637768e+003,2.14284788501765e+004
2.80000000000000e+002	1.73236163471404e+003,2.15045209963318e+004
2.81000000000000e+002	1.74471897057519e+003,2.15805549822772e+004
2.82000000000000e+002	1.75711980809634e+003,2.16565807792860e+004
2.83000000000000e+002	1.76956414139208e+003,2.17325983586359e+004
2.84000000000000e+002	1.78205196455636e+003,2.18086076916090e+004
2.85000000000000e+002	1.79458327166271e+003,2.18846087494919e+004
2.86000000000000e+002	1.80715805676394e+003,2.19606015035759e+004
2.87000000000000e+002	1.81977631389243e+003,2.20365859251563e+004
2.88000000000000e+002	1.83243803705991e+003,2.21125619855335e+004
2.89000000000000e+002	1.84514322025743e+003,2.21885296560121e+004
2.90000000000000e+002	1.85789185745581e+003,2.22644889079013e+004
2.91000000000000e+002	1.87068394260503e+003,2.23404397125149e+004
2.92000000000000e+002	1.88351946963464e+003,2.24163820411713e+004
2.93000000000000e+002	1.89639843245360e+003,2.24923158651935e+004
2.94000000000000e+002	1.90932082495036e+003,2.25682411559090e+004
2.95000000000000e+002	1.92228664099283e+003,2.26441578846501e+004
2.96000000000000e+002	1.93529587442840e+003,2.27200660227536e+004
2.97000000000000e+002	1.94834851908392e+003,2.27959655415611e+004
2.98000000000000e+002	1.96144456876575e+003,2.28718564124188e+004
2.99000000000000e+002	1.97458401725958e+003,2.29477386066775e+004
3.00000000000000e+002	1.98776685833067e+003,2.30236120956929e+004
3.01000000000000e+002	2.00099308572395e+003,2.30994768508252e+004
3.02000000000000e+002	2.01426269316349e+003,2.31753328434396e+004
3.03000000000000e+002	2.02757567435307e+003,2.32511800449059e+004
3.04000000000000e+002	2.04093202297607e+003,2.33270184265986e+004
3.05000000000000e+002	2.05433173269505e+003,2.34028479598972e+004
3.06000000000000e+002	2.06777479715233e+003,2.34786686161857e+004
3.07000000000000e+002	2.08126120996965e+003,2.35544803668532e+004
3.08000000000000e+002	2.09479096474823e+003,2.36302831832935e+004
3.09000000000000e+002	2.10836405506884e+003,2.37060770369053e+004
3.10000000000000e+002	2.12198047449181e+003,2.37818618990920e+004
3.11000000000000e+002	2.13564021655700e+003,2.38576377412621e+004
3.12000000000000e+002	2.14934327478364e+003,2.39334045348289e+004
3.13000000000000e+002	2.16308964267064e+003,2.40091622512106e+004
3.14000000000000e+002	2.17687931369647e+003,2.40849108618303e+004
3.15000000000000e+002	2.19071228131900e+003,2.41606503381160e+004
3.16000000000000e+002	2.20458853897573e+003,2.42363806515009e+004
3.17000000000000e+002	2.21850808008363e+003,2.43121017734228e+004
3.18000000000000e+002	2.23247089803939e+003,2.43878136753249e+004
3.19000000000000e+002	2.24647698621903e+003,2.44635163286550e+004
3.20000000000000e+002	2.26052633797836e+003,2.45392097048661e+004
3.21000000000000e+002	2.27461894665253e+003,2.46148937754163e+004
3.22000000000000e+002	2.28875480555637e+003,2.46905685117686e+004
3.23000000000000e+002	2.30293390798433e+003,2.47662338853913e+004
3.24000000000000e+002	2.31715624721022e+003,2.48418898677575e+004
3.25000000000000e+002	2.33142181648770e+003,2.49175364303454e+004
3.26000000000000e+002	2.34573060904996e+003,2.49931735446387e+004
3.27000000000000e+002	2.36008261810948e+003,2.50688011821257e+004
3.28000000000000e+002	2.37447783685866e+003,2.51444193143001e+004
3.29000000000000e+002	2.38891625846950e+003,2.52200279126609e+004
3.30000000000000e+002	2.40339787609326e+003,2.52956269487120e+004
3.31000000000000e+002	2.41792268286114e+003,2.53712163939626e+004
3.32000000000000e+002	2.43249067188384e+003,2.54467962199272e+004
3.33000000000000e+002	2.44710183625165e+003,2.55223663981252e+004
3.34000000000000e+002	2.46175616903443e+003,2.55979269000817e+004
3.35000000000000e+002	2.47645366328174e+003,2.56734776973266e+004
3.36000000000000e+002	2.49119431202273e+003,2.57490187613953e+004
3.37000000000000e+002	2.50597810826619e+003,2.58245500638285e+004
3.38000000000000e+002	2.52080504500044e+003,2.59000715761722e+004
3.39000000000000e+002	2.53567511519367e+003,2.59755832699774e+004
3.40000000000000e+002	2.55058831179341e+003,2.60510851168009e+004
3.41000000000000e+002	2.56554462772711e+003,2.61265770882045e+004
3.42000000000000e+002	2.58054405590167e+003,2.62020591557554e+004
3.43000000000000e+002	2.59558658920365e+003,2.62775312910264e+004
3.44000000000000e+002	2.61067222049942e+003,2.63529934655954e+004
3.45000000000000e+002	2.62580094263493e+003,2.64284456510458e+004
3.46000000000000e+002	2.64097274843563e+003,2.65038878189666e+004
3.47000000000000e+002	2.65618763070699e+003,2.65793199409518e+004
3.48000000000000e+002	2.67144558223381e+003,2.66547419886014e+004
3.49000000000000e+002	2.68674659578067e+003,2.67301539335204e+004
3.50000000000000e+002	2.70209066409197e+003,2.68055557473194e+004
3.51000000000000e+002	2.71747777989166e+003,2.68809474016148e+004
3.52000000000000e+002	2.73290793588341e+003,2.69563288680280e+004
3.53000000000000e+002	2.74838112475052e+003,2.70317001181864e+004
3.54000000000000e+002	2.76389733915610e+003,2.71070611237225e+004
3.55000000000000e+002	2.77945657174297e+003,2.71824118562748e+004
3.56000000000000e+002	2.79505881513354e+003,2.72577522874870e+004
3.57000000000000e+002	2.81070406192998e+003,2.73330823890086e+004
3.58000000000000e+002	2.82639230471417e+003,2.74084021324946e+004
3.59000000000000e+002	2.84212353604786e+003,2.74837114896057e+004
3.60000000000000e+002	2.85789774847220e+003,2.75590104320081e+004
3.61000000000000e+002	2.87371493450838e+003,2.76342989313739e+004
3.62000000000000e+002	2.88957508665727e+003,2.77095769593804e+004
3.63000000000000e+002	2.90547819739918e+003,2.77848444877112e+004
3.64000000000000e+002	2.92142425919462e+003,2.78601014880550e+004
3.65000000000000e+002	2.93741326448354e+003,2.79353479321066e+004
3.66000000000000e+002	2.95344520568569e+003,2.80105837915664e+004
3.67000000000000e+002	2.96952007520069e+003,2.80858090381404e+004
3.68000000000000e+002	2.98563786540775e+003,2.81610236435407e+004
3.69000000000000e+002	3.00179856866601e+003,2.82362275794847e+004
3.70000000000000e+002	3.01800217731424e+003,2.83114208176961e+004
3.71000000000000e+002	3.03424868367104e+003,2.83866033299039e+004
3.72000000000000e+002	3.05053808003484e+003,2.84617750878434e+004
3.73000000000000e+002	3.06687035868375e+003,2.85369360632552e+004
3.74000000000000e+002	3.08324551187581e+003,2.86120862278863e+004
3.75000000000000e+002	3.09966353184865e+003,2.86872255534891e+004
3.76000000000000e+002	3.11612441081993e+003,2.87623540118221e+004
3.77000000000000e+002	3.13262814098693e+003,2.88374715746497e+004
3.78000000000000e+002	3.14917471452685e+003,2.89125782137421e+004
3.79000000000000e+002	3.16576412359657e+003,2.89876739008756e+004
3.80000000000000e+002	3.18239636033293e+003,2.90627586078322e+004
3.81000000000000e+002	3.19907141685246e+003,2.91378323064000e+004
3.82000000000000e+002	3.21578928525167e+003,2.92128949683731e+004
3.83000000000000e+002	3.23254995760671e+003,2.92879465655515e+004
3.84000000000000e+002	3.24935342597383e+003,2.93629870697411e+004
3.85000000000000e+002	3.26619968238875e+003,2.94380164527541e+004
3.86000000000000e+002	3.28308871886735e+003,2.95130346864085e+004
3.87000000000000e+002	3.30002052740525e+003,2.95880417425284e+004
3.88000000000000e+002	3.31699509997783e+003,2.96630375929439e+004
3.89000000000000e+002	3.33401242854052e+003,2.97380222094913e+004
3.90000000000000e+002	3.35107250502847e+003,2.98129955640129e+004
3.91000000000000e+002	3.36817532135661e+003,2.98879576283572e+004
3.92000000000000e+002	3.38532086942011e+003,2.99629083743787e+004
3.93000000000000e+002	3.40250914109355e+003,3.00378477739380e+004
3.94000000000000e+002	3.41974012823176e+003,3.01127757989021e+004
3.95000000000000e+002	3.43701382266925e+003,3.01876924211438e+004
3.96000000000000e+002	3.45433021622044e+003,3.02625976125424e+004
3.97000000000000e+002	3.47168930067981e+003,3.03374913449833e+004
3.98000000000000e+002	3.48909106782145e+003,3.04123735903580e+004
3.99000000000000e+002	3.50653550939966e+003,3.04872443205643e+004
4.00000000000000e+002	3.52402261714842e+003,3.05621035075063e+004
4.01000000000000e+002	3.54155238278186e+003,3.06369511230944e+004
4.02000000000000e+002	3.55912479799377e+003,3.07117871392449e+004
4.03000000000000e+002	3.57673985445801e+003,3.07866115278809e+004
4.04000000000000e+002	3.59439754382833e+003,3.08614242609315e+004
4.05000000000000e+002	3.61209785773850e+003,3.09362253103322e+004
4.06000000000000e+002	3.62984078780207e+003,3.10110146480247e+004
4.07000000000000e+002	3.64762632561274e+003,3.10857922459573e+004
4.08000000000000e+002	3.66545446274399e+003,3.11605580760844e+004
4.09000000000000e+002	3.68332519074928e+003,3.12353121103669e+004
4.10000000000000e+002	3.70123850116213e+003,3.13100543207722e+004
4.11000000000000e+002	3.71919438549596e+003,3.13847846792739e+004
4.12000000000000e+002	3.73719283524408e+003,3.14595031578521e+004
4.13000000000000e+002	3.75523384187993e+003,3.15342097284935e+004
4.14000000000000e+002	3.77331739685678e+003,3.16089043631909e+004
4.15000000000000e+002	3.79144349160807e+003,3.16835870339439e+004
4.16000000000000e+002	3.80961211754709e+003,3.17582577127584e+004
4.17000000000000e+002	3.82782326606703e+003,3.18329163716469e+004
4.18000000000000e+002	3.84607692854138e+003,3.19075629826283e+004
4.19000000000000e+002	3.86437309632340e+003,3.19821975177282e+004
4.20000000000000e+002	3.88271176074641e+003,3.20568199489785e+004
4.21000000000000e+002	3.90109291312379e+003,3.21314302484179e+004
4.22000000000000e+002	3.91951654474888e+003,3.22060283880915e+004
4.23000000000000e+002	3.93798264689511e+003,3.22806143400512e+004
